client_id,age_bracket,job,marital,education,has_housing_loan,has_personal_loan,prev_call_duration,days_since_last_call,num_contacts_prev,poutcome,contact_date,cpi,subs_deposit
33914,25-40,white-collar,single,bachelors,yes,no,324,999,0,nonexistent,2018-05-11,947.67,0
34721,41-60,pink-collar,divorced,bachelors,unknown,unknown,262,999,1,failure,2018-06-11,947.67,1
32685,25-40,white-collar,single,bachelors,yes,no,526,999,0,nonexistent,2018-01-10,946.01,1
32575,18-24,other,single,senior_secondary,no,yes,380,3,1,success,2018-05-10,946.01,1
35583,41-60,technician,married,bachelors,no,no,164,999,1,failure,2018-07-11,947.67,0
32570,41-60,white-collar,married,senior_secondary,yes,no,738,6,1,success,2018-05-10,946.01,1
33148,18-24,blue-collar,single,senior_secondary,no,no,1032,3,1,success,2018-04-10,946.01,1
32845,25-40,blue-collar,single,senior_secondary,yes,no,209,999,1,failure,2018-02-10,946.01,1
33152,25-40,white-collar,single,senior_secondary,no,no,330,6,1,success,2018-04-10,946.01,1
37242,41-60,white-collar,divorced,bachelors,yes,no,741,999,2,failure,2018-02-11,947.67,1
32961,41-60,technician,married,masters,no,no,391,27,1,success,2018-03-10,946.01,1
35594,25-40,pink-collar,divorced,bachelors,no,no,403,999,0,nonexistent,2018-07-11,947.67,1
32954,25-40,technician,married,masters,no,no,486,999,0,nonexistent,2018-03-10,946.01,1
33154,25-40,white-collar,divorced,bachelors,unknown,unknown,256,999,1,failure,2018-04-10,946.01,0
32682,41-60,technician,married,masters,yes,yes,509,6,1,success,2018-01-10,946.01,1
32565,60+,other,married,bachelors,yes,no,212,3,2,success,2018-05-10,946.01,0
32699,25-40,white-collar,single,bachelors,yes,no,400,5,2,success,2018-01-10,946.01,1
32678,60+,other,divorced,senior_secondary,yes,yes,567,3,1,success,2018-01-10,946.01,1
33904,41-60,blue-collar,divorced,masters,yes,no,742,999,0,nonexistent,2018-05-11,947.67,1
32856,60+,white-collar,married,senior_secondary,no,no,238,18,2,failure,2018-02-10,946.01,1
32837,18-24,other,single,unknown,yes,yes,187,3,4,success,2018-02-10,946.01,1
32698,25-40,other,married,senior_secondary,yes,no,304,3,1,success,2018-01-10,946.01,1
34727,41-60,white-collar,single,bachelors,yes,no,1166,999,1,failure,2018-06-11,947.67,0
33131,60+,blue-collar,married,masters,yes,no,246,999,0,nonexistent,2018-04-10,946.01,1
32835,25-40,technician,married,bachelors,yes,yes,203,6,2,success,2018-02-10,946.01,1
32982,41-60,pink-collar,divorced,senior_secondary,yes,no,487,999,2,failure,2018-03-10,946.01,1
32706,25-40,technician,married,masters,yes,no,215,6,1,success,2018-01-10,946.01,1
33119,60+,other,married,secondary,yes,no,138,999,0,nonexistent,2018-04-10,946.01,0
34736,41-60,white-collar,married,masters,no,no,186800,10,1,success,2018-06-11,947.67,1
32683,41-60,white-collar,married,bachelors,yes,no,252,999,0,nonexistent,2018-01-10,946.01,1
34726,41-60,white-collar,married,unknown,no,no,333,999,0,nonexistent,2018-06-11,947.67,0
32973,41-60,technician,married,bachelors,yes,no,6,999,1,failure,2018-03-10,946.01,0
36486,25-40,white-collar,single,bachelors,yes,no,260,999,0,nonexistent,2018-01-11,947.67,1
32959,25-40,technician,married,masters,yes,no,275,999,0,nonexistent,2018-03-10,946.01,1
32578,25-40,other,single,senior_secondary,no,no,554,999,0,nonexistent,2018-05-10,946.01,1
37245,25-40,white-collar,single,bachelors,no,no,528,999,0,nonexistent,2018-02-11,947.67,1
35595,25-40,white-collar,married,bachelors,no,no,651,999,1,failure,2018-07-11,947.67,1
37256,41-60,technician,married,masters,no,no,442,999,0,nonexistent,2018-02-11,947.67,1
35592,25-40,white-collar,single,senior_secondary,yes,no,456,999,0,nonexistent,2018-07-11,947.67,1
32571,25-40,other,single,senior_secondary,yes,no,394,14,1,success,2018-05-10,946.01,1
33133,25-40,white-collar,single,senior_secondary,no,no,301,3,1,success,2018-04-10,946.01,1
36502,60+,other,married,bachelors,no,no,483,6,3,success,2018-01-11,947.67,1
32669,25-40,technician,single,masters,no,no,4,16,1,success,2018-01-10,946.01,0
32993,60+,other,married,secondary,yes,no,258,3,3,success,2018-03-10,946.01,1
32834,25-40,blue-collar,single,secondary,no,no,114,999,0,nonexistent,2018-02-10,946.01,0
37248,25-40,white-collar,single,masters,yes,no,397,999,0,nonexistent,2018-02-11,947.67,1
32569,18-24,white-collar,single,bachelors,yes,no,1176,3,2,success,2018-05-10,946.01,1
33918,60+,pink-collar,divorced,masters,yes,no,655,5,5,success,2018-05-11,947.67,1
34725,25-40,blue-collar,single,secondary,yes,no,330,999,0,nonexistent,2018-06-11,947.67,1
32989,25-40,other,single,bachelors,no,no,508,999,0,nonexistent,2018-03-10,946.01,1
33908,25-40,technician,married,secondary,yes,no,414,999,3,failure,2018-05-11,947.67,0
32700,25-40,pink-collar,single,senior_secondary,yes,no,182,6,1,success,2018-01-10,946.01,1
37237,60+,other,married,secondary,yes,no,413,3,2,success,2018-02-11,947.67,1
34716,25-40,technician,married,unknown,yes,no,200,3,1,success,2018-06-11,947.67,1
37251,25-40,white-collar,married,bachelors,yes,no,281,999,0,nonexistent,2018-02-11,947.67,1
32573,25-40,other,single,senior_secondary,yes,no,234,3,1,success,2018-05-10,946.01,1
32580,25-40,pink-collar,married,senior_secondary,yes,yes,608,12,2,failure,2018-05-10,946.01,1
33905,41-60,blue-collar,married,senior_secondary,yes,yes,449,5,3,success,2018-05-11,947.67,1
