client_id,age_bracket,job,marital,education,has_housing_loan,has_personal_loan,prev_call_duration,days_since_last_call,num_contacts_prev,poutcome,contact_date,cpi,subs_deposit
21043,41-60,blue-collar,single,secondary,yes,yes,180600,999,0,nonexistent,2018-04-07,93.918,1
32587,25-40,technician,divorced,bachelors,no,yes,201600,999,0,nonexistent,2018-01-10,93.798,1
15319,25-40,white-collar,divorced,secondary,no,no,136300,999,0,nonexistent,2018-05-06,94.465,1
39522,25-40,pink-collar,married,secondary,unknown,unknown,292600,999,0,nonexistent,2018-06-04,93.075,1
34858,25-40,technician,married,masters,yes,yes,155400,999,0,nonexistent,2018-07-11,93.2,1
33982,41-60,technician,married,masters,yes,no,197800,999,0,nonexistent,2018-06-11,93.2,1
29056,25-40,white-collar,married,bachelors,yes,no,184200,999,0,nonexistent,2018-01-08,93.444,1
16948,25-40,white-collar,single,bachelors,yes,yes,140700,999,0,nonexistent,2018-06-06,94.055,1
21002,25-40,pink-collar,single,senior_secondary,no,no,142600,999,0,nonexistent,2018-04-07,93.918,1
25175,25-40,white-collar,married,bachelors,yes,no,139700,999,0,nonexistent,2018-02-07,93.918,1
13406,41-60,white-collar,married,bachelors,no,no,138000,999,0,nonexistent,2018-04-05,92.893,0
22704,18-24,technician,single,secondary,yes,no,144800,999,0,nonexistent,2018-05-07,93.918,1
23048,41-60,other,married,secondary,no,no,185000,999,0,nonexistent,2018-05-07,93.918,1
16117,25-40,pink-collar,divorced,senior_secondary,no,no,144900,999,0,nonexistent,2018-06-06,94.465,1
22479,25-40,technician,married,masters,no,no,364300,999,0,nonexistent,2018-05-07,93.918,1
23573,25-40,pink-collar,married,senior_secondary,yes,yes,172100,999,0,nonexistent,2018-05-07,93.918,1
40122,41-60,blue-collar,single,bachelors,no,no,142200,999,0,nonexistent,2018-02-04,93.075,1
38660,25-40,blue-collar,single,secondary,yes,yes,141000,999,1,failure,2018-05-04,93.075,0
26731,25-40,white-collar,single,bachelors,yes,yes,150400,999,0,nonexistent,2018-06-08,93.444,0
2872,25-40,technician,married,masters,no,no,190600,999,0,nonexistent,2018-01-05,93.994,0
4226,25-40,self-employed,married,secondary,no,no,309400,999,0,nonexistent,2018-01-05,93.994,1
88,41-60,technician,married,secondary,no,no,146700,999,0,nonexistent,2018-07-05,93.994,1
23957,25-40,other,married,secondary,yes,no,168900,999,0,nonexistent,2018-06-07,93.918,1
18498,25-40,blue-collar,married,secondary,no,no,157300,999,0,nonexistent,2018-01-06,94.465,1
8624,25-40,pink-collar,married,secondary,no,no,208700,999,0,nonexistent,2018-03-05,93.994,1
36319,25-40,white-collar,divorced,bachelors,yes,no,153200,999,0,nonexistent,2018-01-11,93.2,1
10527,25-40,white-collar,single,senior_secondary,no,no,172300,12,1,success,2018-03-05,92.893,1
37202,25-40,white-collar,single,bachelors,yes,no,218400,999,1,failure,2018-02-11,92.649,1
30639,25-40,white-collar,married,senior_secondary,yes,no,150300,999,0,nonexistent,2018-02-08,93.444,1
33092,25-40,technician,married,masters,yes,yes,170700,999,0,nonexistent,2018-04-10,92.431,1
39701,41-60,pink-collar,married,secondary,yes,no,143500,999,0,nonexistent,2018-02-04,93.075,1
23373,25-40,technician,married,senior_secondary,yes,no,146100,999,0,nonexistent,2018-05-07,93.918,1
2963,41-60,pink-collar,married,masters,yes,no,159700,999,0,nonexistent,2018-01-05,93.994,1
30005,41-60,technician,married,senior_secondary,yes,no,136300,999,0,nonexistent,2018-01-08,94.027,1
28596,25-40,technician,single,masters,yes,no,141600,12,1,success,2018-07-08,92.201,1
39606,41-60,white-collar,divorced,senior_secondary,no,yes,213900,999,0,nonexistent,2018-06-04,93.075,1
11570,25-40,other,single,senior_secondary,no,yes,268000,999,0,nonexistent,2018-04-05,93.994,1
29491,25-40,white-collar,single,bachelors,yes,no,140800,999,0,nonexistent,2018-01-08,93.444,1
40828,41-60,other,married,senior_secondary,no,no,164000,999,0,nonexistent,2018-05-09,94.199,1
5773,41-60,entrepreneur,married,secondary,no,no,157400,999,0,nonexistent,2018-02-05,93.994,1
36373,25-40,white-collar,single,bachelors,no,no,242000,999,0,nonexistent,2018-01-11,93.2,1
24834,25-40,blue-collar,married,secondary,no,no,135600,999,0,nonexistent,2018-02-07,93.918,1
27296,25-40,technician,married,bachelors,yes,no,137400,999,0,nonexistent,2018-06-08,93.444,1
34736,41-60,white-collar,married,masters,no,no,186800,10,1,success,2018-06-11,947.67,1
18135,41-60,white-collar,divorced,bachelors,yes,no,265300,999,0,nonexistent,2018-01-06,94.465,1
22914,41-60,technician,married,senior_secondary,no,no,175600,999,0,nonexistent,2018-05-07,93.918,0
34505,25-40,self-employed,married,masters,no,no,178800,999,0,nonexistent,2018-06-11,93.2,1
479,25-40,white-collar,single,senior_secondary,unknown,unknown,149500,999,0,nonexistent,2018-07-05,93.994,0
15246,25-40,blue-collar,married,secondary,no,yes,245600,999,0,nonexistent,2018-05-06,94.465,1
32780,41-60,pink-collar,married,secondary,no,no,218700,999,0,nonexistent,2018-02-10,92.431,0
18541,41-60,white-collar,married,senior_secondary,no,no,142200,999,0,nonexistent,2018-01-06,94.465,1
37433,25-40,technician,single,bachelors,yes,no,137000,6,2,success,2018-04-12,92.713,1
17914,41-60,blue-collar,married,masters,yes,yes,172000,999,0,nonexistent,2018-07-06,94.055,1
21745,25-40,other,divorced,bachelors,yes,no,137300,999,0,nonexistent,2018-04-07,93.918,1
16763,41-60,white-collar,married,bachelors,no,no,157400,999,0,nonexistent,2018-06-06,94.465,1
12422,41-60,blue-collar,married,secondary,yes,no,198000,999,0,nonexistent,2018-04-05,93.994,1
6233,25-40,technician,married,masters,no,no,142300,999,0,nonexistent,2018-02-05,93.994,1
17663,25-40,white-collar,married,senior_secondary,yes,yes,202800,999,0,nonexistent,2018-07-06,94.465,1
880,25-40,blue-collar,married,secondary,yes,no,162200,999,0,nonexistent,2018-07-05,93.994,1
13612,25-40,white-collar,married,senior_secondary,yes,no,187100,999,0,nonexistent,2018-04-05,92.893,1
24287,18-24,other,single,bachelors,yes,no,150300,999,0,nonexistent,2018-06-07,93.918,0
37848,41-60,white-collar,divorced,bachelors,no,no,248600,999,0,nonexistent,2018-01-03,93.369,1
14701,41-60,blue-collar,married,secondary,yes,no,276900,999,0,nonexistent,2018-04-06,94.465,1
36030,25-40,self-employed,married,bachelors,yes,yes,149000,999,0,nonexistent,2018-01-11,93.2,1
