,depth,cv_score_ave,cv1,cv2,cv3,cv4,cv5,cv6,cv7,cv8,cv9,cv10
0,1,0.7467499999999999,0.775,0.7675,0.7625,0.7425,0.73,0.78,0.765,0.7425,0.715,0.6875
1,2,0.7790000000000001,0.8075,0.81,0.785,0.775,0.7875,0.7925,0.7925,0.7825,0.735,0.7225
2,3,0.80375,0.8125,0.8325,0.8275,0.815,0.8475,0.7975,0.78,0.805,0.7775,0.7425
3,4,0.8242499999999999,0.84,0.8525,0.83,0.835,0.8475,0.8525,0.7975,0.835,0.7875,0.765
4,5,0.8335000000000001,0.845,0.8575,0.83,0.865,0.87,0.8525,0.8175,0.835,0.79,0.7725
5,6,0.83775,0.86,0.8725,0.83,0.8425,0.8675,0.86,0.8225,0.845,0.8125,0.765
6,7,0.8412499999999999,0.86,0.8675,0.8425,0.855,0.8575,0.8625,0.8375,0.84,0.8025,0.7875
7,8,0.8474999999999999,0.8375,0.8625,0.855,0.865,0.8725,0.87,0.85,0.8475,0.805,0.81
8,9,0.8442500000000001,0.86,0.8625,0.83,0.8575,0.87,0.8575,0.8425,0.84,0.8025,0.82
9,10,0.8422499999999999,0.8525,0.875,0.8325,0.8675,0.8675,0.8625,0.8325,0.835,0.7925,0.805
10,11,0.844,0.8575,0.895,0.85,0.865,0.8575,0.8375,0.8425,0.8225,0.805,0.8075
11,12,0.8297500000000001,0.8425,0.8625,0.8375,0.8575,0.845,0.83,0.835,0.82,0.78,0.7875
12,13,0.83125,0.83,0.87,0.8475,0.855,0.86,0.825,0.8275,0.8225,0.7875,0.7875
13,14,0.82825,0.8475,0.875,0.8325,0.85,0.86,0.8075,0.8325,0.81,0.79,0.7775
14,15,0.8230000000000001,0.85,0.8675,0.8375,0.8425,0.8425,0.81,0.8225,0.8,0.775,0.7825
15,16,0.8210000000000001,0.8475,0.865,0.8275,0.8475,0.8375,0.7925,0.825,0.805,0.77,0.7925
16,17,0.8195,0.83,0.855,0.8275,0.845,0.84,0.7975,0.82,0.805,0.775,0.8
17,18,0.8182500000000001,0.845,0.855,0.8325,0.8475,0.845,0.8,0.8075,0.805,0.775,0.77
18,19,0.8237500000000001,0.845,0.86,0.83,0.8475,0.85,0.815,0.8225,0.81,0.765,0.7925
19,20,0.8205,0.845,0.87,0.8225,0.84,0.8475,0.8,0.82,0.8125,0.77,0.7775
20,21,0.819,0.845,0.87,0.825,0.84,0.8375,0.8,0.815,0.81,0.77,0.7775
21,22,0.8202499999999999,0.845,0.87,0.825,0.84,0.85,0.8,0.815,0.81,0.77,0.7775
22,23,0.8202499999999999,0.845,0.87,0.825,0.84,0.85,0.8,0.815,0.81,0.77,0.7775
23,24,0.8202499999999999,0.845,0.87,0.825,0.84,0.85,0.8,0.815,0.81,0.77,0.7775
24,25,0.8202499999999999,0.845,0.87,0.825,0.84,0.85,0.8,0.815,0.81,0.77,0.7775
