,depth,cv_score_ave,cv1,cv2,cv3,cv4,cv5,cv6,cv7,cv8,cv9,cv10
0,1,0.7842500000000001,0.79,0.81,0.735,0.82,0.8025,0.795,0.7375,0.8,0.775,0.7775
1,2,0.80275,0.78,0.8275,0.825,0.82,0.83,0.8125,0.785,0.81,0.7575,0.78
2,3,0.8185,0.8025,0.8,0.84,0.83,0.845,0.8275,0.8075,0.83,0.7925,0.81
3,4,0.8270000000000002,0.81,0.835,0.8425,0.84,0.8625,0.84,0.8175,0.83,0.7975,0.795
4,5,0.8290000000000001,0.84,0.825,0.8525,0.8475,0.86,0.8175,0.8225,0.8375,0.785,0.8025
5,6,0.8335000000000001,0.84,0.8325,0.8475,0.855,0.855,0.8275,0.8275,0.855,0.8,0.795
6,7,0.8397500000000001,0.8525,0.855,0.84,0.86,0.86,0.84,0.8325,0.85,0.8025,0.805
7,8,0.8432499999999999,0.86,0.8625,0.845,0.86,0.8625,0.84,0.8425,0.85,0.8075,0.8025
8,9,0.8394999999999999,0.8525,0.855,0.8375,0.8725,0.87,0.8375,0.83,0.845,0.795,0.8
9,10,0.84325,0.85,0.8575,0.8425,0.87,0.875,0.85,0.8375,0.8475,0.7975,0.805
10,11,0.84375,0.8625,0.87,0.835,0.8675,0.865,0.8475,0.83,0.8425,0.8075,0.81
11,12,0.8462500000000001,0.855,0.8775,0.8375,0.87,0.86,0.8525,0.84,0.855,0.81,0.805
12,13,0.84475,0.855,0.8875,0.8425,0.865,0.8525,0.8475,0.8325,0.8525,0.805,0.8075
13,14,0.8465,0.86,0.885,0.84,0.8725,0.8675,0.845,0.835,0.8525,0.7975,0.81
14,15,0.8467499999999999,0.86,0.885,0.84,0.8675,0.8725,0.85,0.83,0.855,0.8,0.8075
15,16,0.8462500000000001,0.8575,0.885,0.8375,0.8675,0.87,0.85,0.8325,0.85,0.8025,0.81
16,17,0.84825,0.8675,0.8825,0.845,0.8675,0.8675,0.8575,0.8325,0.8475,0.8025,0.8125
17,18,0.8494999999999999,0.87,0.8775,0.8475,0.8725,0.8775,0.855,0.835,0.85,0.8,0.81
18,19,0.8492500000000002,0.8625,0.875,0.845,0.8725,0.875,0.8575,0.84,0.845,0.8025,0.8175
19,20,0.8477499999999999,0.865,0.87,0.855,0.8625,0.875,0.8575,0.8275,0.8475,0.8,0.8175
20,21,0.8477499999999999,0.865,0.875,0.8475,0.865,0.87,0.86,0.8325,0.8475,0.805,0.81
21,22,0.8484999999999999,0.8675,0.885,0.85,0.8575,0.87,0.86,0.83,0.8475,0.805,0.8125
22,23,0.8484999999999999,0.87,0.8825,0.8525,0.86,0.8725,0.8575,0.8225,0.845,0.81,0.8125
23,24,0.8482500000000002,0.87,0.875,0.85,0.8675,0.8725,0.855,0.8275,0.845,0.8075,0.8125
24,25,0.8480000000000001,0.87,0.8775,0.85,0.8675,0.87,0.8575,0.82,0.8475,0.81,0.81
25,26,0.84825,0.875,0.88,0.85,0.8625,0.87,0.8525,0.825,0.8525,0.8075,0.8075
26,27,0.8480000000000001,0.865,0.88,0.8525,0.8675,0.8725,0.85,0.8275,0.85,0.81,0.805
27,28,0.8484999999999999,0.875,0.8775,0.85,0.8675,0.8725,0.8575,0.825,0.85,0.805,0.805
28,29,0.84825,0.88,0.8825,0.8525,0.8625,0.8725,0.8525,0.825,0.8475,0.8075,0.8
29,30,0.8485000000000001,0.875,0.88,0.85,0.86,0.87,0.855,0.8275,0.855,0.81,0.8025
30,31,0.84975,0.88,0.88,0.855,0.8625,0.8725,0.8525,0.8275,0.855,0.8075,0.805
31,32,0.84825,0.8775,0.8825,0.85,0.86,0.8675,0.855,0.825,0.8525,0.805,0.8075
32,33,0.8485000000000001,0.8725,0.88,0.85,0.8575,0.87,0.8575,0.8275,0.85,0.81,0.81
33,34,0.8475000000000001,0.8725,0.885,0.8475,0.8575,0.87,0.8525,0.8275,0.85,0.8025,0.81
34,35,0.84825,0.87,0.885,0.85,0.86,0.87,0.85,0.8325,0.8525,0.8025,0.81
35,36,0.8487500000000001,0.87,0.885,0.85,0.8575,0.87,0.8525,0.83,0.8525,0.8075,0.8125
36,37,0.849,0.8725,0.88,0.8525,0.8575,0.8675,0.8525,0.835,0.85,0.8075,0.815
37,38,0.8487500000000001,0.87,0.89,0.85,0.855,0.8675,0.8575,0.8275,0.8525,0.8075,0.81
38,39,0.84975,0.8675,0.885,0.8525,0.86,0.865,0.8575,0.83,0.855,0.81,0.815
39,40,0.8497499999999999,0.87,0.885,0.8525,0.86,0.87,0.8525,0.83,0.855,0.815,0.8075
40,41,0.84925,0.87,0.89,0.85,0.86,0.8675,0.8525,0.83,0.85,0.8075,0.815
41,42,0.8487500000000001,0.8675,0.88,0.85,0.86,0.87,0.855,0.83,0.85,0.8075,0.8175
42,43,0.8480000000000001,0.87,0.88,0.8475,0.86,0.87,0.855,0.83,0.8475,0.8025,0.8175
43,44,0.8474999999999999,0.8675,0.885,0.8475,0.8575,0.8675,0.855,0.83,0.85,0.8025,0.8125
44,45,0.84825,0.8725,0.885,0.8475,0.8575,0.87,0.8575,0.83,0.85,0.8,0.8125
45,46,0.8485000000000001,0.875,0.8875,0.8475,0.8575,0.87,0.855,0.83,0.85,0.8025,0.81
46,47,0.84975,0.875,0.8875,0.8475,0.8575,0.87,0.8575,0.835,0.8525,0.8025,0.8125
47,48,0.8505,0.875,0.8925,0.85,0.855,0.8725,0.8575,0.835,0.8525,0.8025,0.8125
48,49,0.85,0.875,0.8925,0.8475,0.86,0.8725,0.86,0.83,0.8525,0.805,0.805
49,50,0.849,0.8725,0.89,0.85,0.8575,0.8725,0.8575,0.8325,0.8525,0.8,0.805
50,51,0.84925,0.8725,0.89,0.8475,0.8575,0.875,0.8575,0.83,0.8525,0.8025,0.8075
51,52,0.8477499999999999,0.87,0.8875,0.8475,0.8575,0.8725,0.8575,0.83,0.8475,0.8025,0.805
52,53,0.849,0.865,0.89,0.8475,0.86,0.8725,0.8575,0.83,0.85,0.8025,0.815
53,54,0.8487500000000001,0.8675,0.8875,0.8475,0.86,0.8725,0.8575,0.8325,0.85,0.8,0.8125
54,55,0.84925,0.87,0.885,0.8475,0.86,0.8725,0.8575,0.8325,0.85,0.805,0.8125
55,56,0.8502500000000002,0.865,0.895,0.8475,0.8625,0.87,0.8575,0.8325,0.8525,0.8075,0.8125
56,57,0.851,0.8675,0.895,0.8475,0.8625,0.875,0.8575,0.835,0.8525,0.805,0.8125
57,58,0.8504999999999999,0.865,0.895,0.85,0.86,0.875,0.8575,0.835,0.85,0.8075,0.81
58,59,0.851,0.865,0.8925,0.8475,0.8625,0.8725,0.86,0.8375,0.85,0.8075,0.815
59,60,0.8515,0.8675,0.8925,0.8525,0.86,0.8725,0.8575,0.835,0.8525,0.81,0.815
60,61,0.8505,0.865,0.8925,0.845,0.8575,0.8725,0.86,0.8325,0.8525,0.81,0.8175
61,62,0.84975,0.8625,0.89,0.8475,0.86,0.87,0.8625,0.83,0.8525,0.81,0.8125
62,63,0.84975,0.865,0.89,0.8475,0.86,0.87,0.86,0.825,0.855,0.8125,0.8125
63,64,0.85075,0.865,0.8925,0.8525,0.86,0.8675,0.86,0.83,0.8525,0.81,0.8175
64,65,0.852,0.8675,0.8975,0.8525,0.86,0.875,0.86,0.83,0.8525,0.81,0.815
65,66,0.85075,0.8675,0.895,0.8525,0.8625,0.8725,0.86,0.8275,0.855,0.8075,0.8075
66,67,0.8512500000000001,0.8675,0.8925,0.855,0.8625,0.8725,0.8575,0.825,0.855,0.8075,0.8175
67,68,0.8515,0.8675,0.8925,0.8525,0.865,0.8725,0.8625,0.8275,0.8525,0.81,0.8125
68,69,0.8517500000000002,0.865,0.895,0.855,0.865,0.8725,0.8625,0.8325,0.85,0.8075,0.8125
69,70,0.8515,0.865,0.895,0.8525,0.865,0.8725,0.8625,0.8325,0.8525,0.805,0.8125
70,71,0.851,0.865,0.895,0.85,0.865,0.87,0.865,0.83,0.85,0.805,0.815
71,72,0.851,0.865,0.9,0.85,0.865,0.87,0.8625,0.8275,0.85,0.805,0.815
72,73,0.85075,0.8675,0.8975,0.85,0.865,0.87,0.86,0.8275,0.85,0.8025,0.8175
73,74,0.85125,0.8675,0.9,0.8525,0.865,0.87,0.8625,0.83,0.85,0.8025,0.8125
74,75,0.85,0.8675,0.895,0.8525,0.8625,0.87,0.8625,0.8275,0.85,0.8,0.8125
75,76,0.8504999999999999,0.87,0.8975,0.8525,0.8625,0.87,0.8625,0.83,0.8475,0.8,0.8125
76,77,0.85075,0.87,0.8975,0.8525,0.8625,0.87,0.865,0.83,0.8475,0.8,0.8125
77,78,0.851,0.87,0.9,0.8525,0.8625,0.87,0.8625,0.8325,0.85,0.8,0.81
78,79,0.8505,0.8675,0.895,0.855,0.8625,0.87,0.8625,0.8275,0.85,0.8,0.815
79,80,0.85075,0.8675,0.9,0.855,0.8625,0.87,0.865,0.8275,0.85,0.8,0.81
80,81,0.85125,0.8675,0.8975,0.855,0.865,0.8725,0.865,0.83,0.85,0.8,0.81
81,82,0.85175,0.8675,0.8975,0.85,0.865,0.875,0.865,0.8325,0.85,0.8025,0.8125
82,83,0.85175,0.8675,0.8975,0.855,0.865,0.8725,0.8625,0.83,0.85,0.8025,0.815
83,84,0.85175,0.87,0.9,0.85,0.865,0.87,0.865,0.8325,0.85,0.8025,0.8125
84,85,0.8525,0.8725,0.8975,0.8525,0.865,0.8725,0.865,0.835,0.85,0.8025,0.8125
85,86,0.8522500000000001,0.8675,0.9,0.85,0.865,0.8725,0.865,0.835,0.8525,0.8025,0.8125
86,87,0.85175,0.865,0.9,0.85,0.8675,0.87,0.8625,0.835,0.85,0.805,0.8125
87,88,0.85225,0.8675,0.9025,0.8525,0.8625,0.87,0.865,0.8325,0.85,0.805,0.815
88,89,0.853,0.8725,0.9025,0.855,0.865,0.87,0.865,0.8325,0.85,0.805,0.8125
89,90,0.85275,0.865,0.9025,0.855,0.865,0.875,0.86,0.835,0.85,0.8075,0.8125
90,91,0.8530000000000001,0.8675,0.9025,0.855,0.8675,0.8725,0.86,0.835,0.85,0.8075,0.8125
91,92,0.8530000000000001,0.8725,0.9,0.8525,0.8675,0.875,0.86,0.83,0.85,0.805,0.8175
92,93,0.8532499999999998,0.8725,0.9025,0.85,0.865,0.875,0.8675,0.8325,0.85,0.805,0.8125
93,94,0.85275,0.87,0.9025,0.8475,0.865,0.8725,0.865,0.8325,0.8525,0.805,0.815
94,95,0.853,0.87,0.905,0.8525,0.865,0.8725,0.865,0.8325,0.85,0.8025,0.815
95,96,0.85275,0.87,0.905,0.8525,0.865,0.8725,0.8625,0.8325,0.8525,0.8025,0.8125
96,97,0.8532500000000001,0.87,0.9025,0.8525,0.865,0.8725,0.8625,0.8375,0.85,0.805,0.815
97,98,0.8525,0.8725,0.905,0.8475,0.865,0.87,0.865,0.8325,0.85,0.805,0.8125
98,99,0.85175,0.8725,0.9,0.845,0.865,0.8675,0.8675,0.835,0.85,0.8025,0.8125
99,100,0.85175,0.87,0.9025,0.85,0.865,0.8675,0.865,0.835,0.85,0.8025,0.81
